,City,Cloudiness (%),Humidity (%),Latitude,Longitude,Proximity to Equator,Temperature (F),Wind Speed (mph)
0,Ancud,12,77,-41.87,-73.83,41.87,45.33,5.75
1,Kurumkan,8,73,54.33,110.32,54.33,56.75,1.59
2,Barrow,64,53,-38.31,-60.23,38.31,49.47,11.9
3,Mahebourg,40,78,-20.41,57.7,20.41,71.6,4.7
4,Ushuaia,20,70,-54.81,-68.31,54.81,42.8,31.09
5,Grand Gaube,40,78,-20.01,57.66,20.01,71.6,4.7
6,Ilulissat,92,64,69.22,-51.1,69.22,39.2,16.11
7,Hobart,75,81,-42.88,147.33,42.88,42.8,10.29
8,Ushuaia,20,70,-54.81,-68.31,54.81,42.8,31.09
9,Vredendal,92,91,-31.68,18.49,31.68,54.23,14.79
10,Lebu,8,96,8.96,38.73,8.96,51.44,2.82
11,Azangaro,0,24,-14.91,-70.2,14.91,57.2,6.93
12,Zhigansk,92,72,66.77,123.37,66.77,47.03,5.61
13,Labuhan,88,98,-2.54,115.51,2.54,71.97,1.95
14,Ponta do Sol,8,59,-20.63,-46.0,20.63,62.88,2.73
15,Santa Cruz,1,55,36.97,-122.03,36.97,62.82,19.46
16,Port Lincoln,68,96,-34.72,135.86,34.72,55.76,14.45
17,Puerto Ayora,75,65,-0.74,-90.35,0.74,78.8,17.22
18,Prince Rupert,1,62,54.32,-130.32,54.32,55.4,8.05
19,La Ronge,90,81,55.1,-105.3,55.1,48.2,13.87
20,Chokurdakh,12,100,70.62,147.9,70.62,27.06,6.42
21,Ribeira Grande,56,96,38.52,-28.7,38.52,68.19,15.03
22,Mahebourg,40,78,-20.41,57.7,20.41,71.6,4.7
23,Hermanus,32,72,-34.42,19.24,34.42,58.2,22.19
24,Dikson,36,90,73.51,80.55,73.51,19.59,4.52
25,Pisco,0,88,-13.71,-76.2,13.71,64.4,10.29
26,Dingle,68,98,11.0,122.67,11.0,74.67,3.06
27,Narsaq,20,79,60.91,-46.05,60.91,44.6,3.36
28,Bethel,90,57,60.79,-161.76,60.79,50.0,4.7
29,Linhares,0,93,-19.38,-40.06,19.38,64.67,3.15
30,Georgetown,75,94,6.8,-58.16,6.8,77.0,6.93
31,Waraseoni,32,80,21.76,80.05,21.76,75.02,4.61
32,Awjilah,0,26,29.14,21.3,29.14,84.12,11.12
33,Tungor,0,61,53.39,142.95,53.39,58.64,10.76
34,Rikitea,8,100,-23.12,-134.97,23.12,75.66,5.86
35,Coihaique,20,80,-45.58,-72.07,45.58,37.0,1.95
36,Sitka,0,67,37.17,-99.65,37.17,86.46,7.65
37,Bluff,12,87,-23.58,149.07,23.58,40.38,7.09
38,Trencin,8,72,48.89,18.04,48.89,62.38,6.93
39,Castro,44,86,-42.48,-73.76,42.48,44.43,6.2
40,Punta Arenas,75,65,-53.16,-70.91,53.16,44.6,11.41
41,Busselton,76,100,-33.64,115.35,33.64,54.51,4.63
42,Puerto Ayora,75,65,-0.74,-90.35,0.74,78.8,17.22
43,Bredasdorp,0,48,-34.53,20.04,34.53,62.6,16.11
44,Laje,92,98,-13.18,-39.42,13.18,67.73,5.95
45,Mataura,0,68,-46.19,168.86,46.19,17.79,3.06
46,Lebu,8,96,8.96,38.73,8.96,51.44,2.82
47,Octeville,90,93,49.63,-1.64,49.63,59.0,3.36
48,Hobart,75,81,-42.88,147.33,42.88,42.8,10.29
49,Ushuaia,20,70,-54.81,-68.31,54.81,42.8,31.09
50,Yellowknife,20,24,62.45,-114.38,62.45,48.2,11.41
51,Deer Lake,90,34,49.18,-57.43,49.18,64.4,9.17
52,Butaritari,64,100,3.07,172.79,3.07,83.49,14.7
53,Cap Malheureux,40,78,-19.98,57.61,19.98,71.6,4.7
54,Punta Arenas,75,65,-53.16,-70.91,53.16,44.6,11.41
55,Bredasdorp,0,48,-34.53,20.04,34.53,62.6,16.11
56,Ahuimanu,75,54,21.44,-157.84,21.44,81.46,23.04
57,Kamiiso,75,87,41.82,140.65,41.82,59.0,4.7
58,Ushuaia,20,70,-54.81,-68.31,54.81,42.8,31.09
59,Vaini,88,97,15.34,74.49,15.34,75.21,3.29
60,Yellowknife,20,24,62.45,-114.38,62.45,48.2,11.41
61,Cape Town,75,82,-33.93,18.42,33.93,59.0,35.57
62,Yumen,0,42,40.29,97.04,40.29,58.38,11.68
63,Bluff,12,87,-23.58,149.07,23.58,40.38,7.09
64,Alofi,40,83,-19.06,-169.92,19.06,77.0,18.34
65,Kodinsk,32,85,58.6,99.18,58.6,53.97,3.85
66,Saldanha,20,67,41.42,-6.55,41.42,58.02,6.98
67,Rawson,0,83,-43.3,-65.11,43.3,27.86,2.82
68,Hobart,75,81,-42.88,147.33,42.88,42.8,10.29
69,Chokurdakh,12,100,70.62,147.9,70.62,27.06,6.42
70,Faanui,68,100,-16.48,-151.75,16.48,81.33,10.0
71,Souillac,75,93,45.6,-0.6,45.6,60.8,5.82
72,Castro,44,86,-42.48,-73.76,42.48,44.43,6.2
73,Hilo,90,78,19.71,-155.08,19.71,73.04,16.11
74,Noumea,20,64,-22.28,166.46,22.28,73.4,4.7
75,Qaanaaq,32,100,77.48,-69.36,77.48,31.2,1.83
76,Cape Town,75,82,-33.93,18.42,33.93,59.0,35.57
77,Sinnamary,92,100,5.38,-52.96,5.38,76.37,13.0
78,Ushuaia,20,70,-54.81,-68.31,54.81,42.8,31.09
79,Shimoda,56,97,34.7,138.93,34.7,68.27,13.56
80,Vadso,75,81,70.07,29.75,70.07,46.4,11.41
81,Ponta Delgada,20,77,37.73,-25.67,37.73,64.4,8.05
82,Hermanus,32,72,-34.42,19.24,34.42,58.2,22.19
83,Butaritari,64,100,3.07,172.79,3.07,83.49,14.7
84,Sawakin,8,78,19.1,37.33,19.1,77.99,4.27
85,Inirida,8,87,3.87,-67.92,3.87,77.72,2.15
86,Carnarvon,0,73,-30.97,22.13,30.97,35.6,14.67
87,Hobart,75,81,-42.88,147.33,42.88,42.8,10.29
88,Sambava,80,100,-14.27,50.17,14.27,73.85,15.01
89,Touros,68,96,-5.2,-35.46,5.2,77.0,13.44
90,Saint-Philippe,90,65,45.36,-73.48,45.36,77.88,13.87
91,Narsaq,20,79,60.91,-46.05,60.91,44.6,3.36
92,Mataura,0,68,-46.19,168.86,46.19,17.79,3.06
93,Jamestown,36,96,-33.21,138.6,33.21,37.14,4.74
94,Bluff,12,87,-23.58,149.07,23.58,40.38,7.09
95,Qaanaaq,32,100,77.48,-69.36,77.48,31.2,1.83
96,Majene,8,100,-3.54,118.97,3.54,81.95,15.79
97,New Norfolk,75,81,-42.78,147.06,42.78,42.8,10.29
98,Busselton,76,100,-33.64,115.35,33.64,54.51,4.63
99,Punta Arenas,75,65,-53.16,-70.91,53.16,44.6,11.41
100,Pennagaram,0,97,12.13,77.9,12.13,69.53,2.59
101,Mayo,90,38,63.59,-135.9,63.59,59.0,2.24
102,Ushuaia,20,70,-54.81,-68.31,54.81,42.8,31.09
103,Srednekolymsk,32,75,67.46,153.71,67.46,36.33,5.86
104,Cabra,8,59,37.47,-4.43,37.47,67.41,3.36
105,Geraldton,90,93,49.72,-86.95,49.72,42.8,13.87
106,Pangnirtung,90,80,66.15,-65.72,66.15,30.2,11.41
107,Port Alfred,0,99,-33.59,26.89,33.59,59.82,4.52
108,Saint-Augustin,90,87,44.83,-0.61,44.83,59.79,3.36
109,Iqaluit,75,68,63.75,-68.52,63.75,30.2,6.93
110,Mwandiga,8,100,-4.84,29.66,4.84,75.38,4.27
111,Bluff,12,87,-23.58,149.07,23.58,40.38,7.09
112,Bluff,12,87,-23.58,149.07,23.58,40.38,7.09
113,Hithadhoo,64,100,-0.6,73.08,0.6,83.67,15.14
114,Ust-Nera,36,77,64.57,143.24,64.57,39.65,2.59
115,Butaritari,64,100,3.07,172.79,3.07,83.49,14.7
116,Georgetown,75,94,6.8,-58.16,6.8,77.0,6.93
117,Atuona,20,100,-9.8,-139.03,9.8,79.89,14.58
118,Cap Malheureux,40,78,-19.98,57.61,19.98,71.6,4.7
119,Ushuaia,20,70,-54.81,-68.31,54.81,42.8,31.09
120,Hilo,90,78,19.71,-155.08,19.71,73.04,16.11
121,Hermanus,32,72,-34.42,19.24,34.42,58.2,22.19
122,Atbasar,32,47,51.81,68.36,51.81,59.0,21.05
123,Yellowknife,20,24,62.45,-114.38,62.45,48.2,11.41
124,Ushuaia,20,70,-54.81,-68.31,54.81,42.8,31.09
125,Tulua,0,79,12.3,4.78,12.3,79.25,3.83
126,Albany,90,69,42.65,-73.75,42.65,72.95,11.41
127,Yerofey Pavlovich,12,76,53.97,121.97,53.97,65.93,3.15
128,Khor,0,47,47.88,134.96,47.88,73.13,8.41
129,Hermanus,32,72,-34.42,19.24,34.42,58.2,22.19
130,Rikitea,8,100,-23.12,-134.97,23.12,75.66,5.86
131,Katsuura,20,87,33.93,134.5,33.93,60.8,5.82
132,Tawang,20,64,27.59,91.87,27.59,48.38,0.69
133,Mataura,0,68,-46.19,168.86,46.19,17.79,3.06
134,Punta Arenas,75,65,-53.16,-70.91,53.16,44.6,11.41
135,Atuona,20,100,-9.8,-139.03,9.8,79.89,14.58
136,Lillooet,40,28,50.69,-121.94,50.69,69.8,3.36
137,Georgetown,75,94,6.8,-58.16,6.8,77.0,6.93
138,Taoudenni,0,15,22.68,-3.98,22.68,91.05,12.12
139,Torbay,90,100,47.66,-52.73,47.66,37.4,18.34
140,Nushki,0,45,29.55,66.02,29.55,56.03,2.71
141,Jatibarang,56,93,-6.47,108.3,6.47,72.59,4.27
142,Vaini,88,97,15.34,74.49,15.34,75.21,3.29
143,Mataura,0,68,-46.19,168.86,46.19,17.79,3.06
144,Punta Arenas,75,65,-53.16,-70.91,53.16,44.6,11.41
145,Shenzhen,20,83,22.54,114.05,22.54,83.52,3.94
146,Castro,44,86,-42.48,-73.76,42.48,44.43,6.2
147,Half Moon Bay,20,76,37.46,-122.43,37.46,62.42,14.99
148,Puerto Escondido,40,74,15.86,-97.07,15.86,86.0,6.93
149,Caravelas,8,100,-17.73,-39.27,17.73,76.19,11.43
150,Bluff,12,87,-23.58,149.07,23.58,40.38,7.09
151,Lompoc,75,55,34.64,-120.46,34.64,64.76,20.8
152,Thompson,90,46,55.74,-97.86,55.74,48.2,12.75
153,Rikitea,8,100,-23.12,-134.97,23.12,75.66,5.86
154,Cape Town,75,82,-33.93,18.42,33.93,59.0,35.57
155,Chokurdakh,12,100,70.62,147.9,70.62,27.06,6.42
156,Ushuaia,20,70,-54.81,-68.31,54.81,42.8,31.09
157,Ranong,75,94,9.96,98.62,9.96,77.0,3.6
158,Punta Arenas,75,65,-53.16,-70.91,53.16,44.6,11.41
159,Lorengau,64,100,-2.02,147.27,2.02,80.42,4.61
160,Jibert,12,61,46.0,25.07,46.0,59.45,1.59
161,Upernavik,64,84,72.79,-56.15,72.79,35.34,6.98
162,Sur,0,78,22.57,59.53,22.57,88.43,4.94
163,Vaini,88,97,15.34,74.49,15.34,75.21,3.29
164,Rikitea,8,100,-23.12,-134.97,23.12,75.66,5.86
165,Aykhal,56,87,65.95,111.51,65.95,39.92,12.1
166,Busselton,76,100,-33.64,115.35,33.64,54.51,4.63
167,Lebu,8,96,8.96,38.73,8.96,51.44,2.82
168,Muravlenko,92,87,63.79,74.5,63.79,40.28,19.6
169,Jamestown,36,96,-33.21,138.6,33.21,37.14,4.74
170,Ambilobe,12,84,-13.19,49.05,13.19,65.57,4.61
171,Sitka,0,67,37.17,-99.65,37.17,86.46,7.65
172,Noumea,20,64,-22.28,166.46,22.28,73.4,4.7
173,Port Elizabeth,20,78,39.31,-74.98,39.31,76.42,6.93
174,Faanui,68,100,-16.48,-151.75,16.48,81.33,10.0
175,Punta Arenas,75,65,-53.16,-70.91,53.16,44.6,11.41
176,Rikitea,8,100,-23.12,-134.97,23.12,75.66,5.86
177,Ushuaia,20,70,-54.81,-68.31,54.81,42.8,31.09
178,Hobart,75,81,-42.88,147.33,42.88,42.8,10.29
179,Avarua,75,83,-21.21,-159.78,21.21,78.8,4.7
180,Margate,75,81,-43.03,147.26,43.03,42.8,10.29
181,Saint-Philippe,90,65,45.36,-73.48,45.36,77.88,13.87
182,Hovd,20,62,63.83,10.7,63.83,58.06,3.36
183,Mataura,0,68,-46.19,168.86,46.19,17.79,3.06
184,Normandin,75,29,48.84,-72.53,48.84,87.8,17.22
185,Thompson,90,46,55.74,-97.86,55.74,48.2,12.75
186,Lawrenceville,1,69,38.73,-87.68,38.73,81.03,12.75
187,Mataura,0,68,-46.19,168.86,46.19,17.79,3.06
188,Atuona,20,100,-9.8,-139.03,9.8,79.89,14.58
189,Kapaa,75,69,22.08,-159.32,22.08,80.6,14.99
190,San Felipe,75,53,-32.75,-70.73,32.75,50.0,9.17
191,Albany,90,69,42.65,-73.75,42.65,72.95,11.41
192,Amapa,75,75,15.09,-87.97,15.09,89.6,13.87
193,Nikolskoye,0,59,59.7,30.79,59.7,42.8,1.95
194,Victoria,75,100,5.28,115.24,5.28,76.21,16.02
195,Mwinilunga,0,69,-11.73,24.43,11.73,58.37,3.15
196,Busselton,76,100,-33.64,115.35,33.64,54.51,4.63
197,Ossora,8,98,59.24,163.07,59.24,38.66,4.38
198,Ushuaia,20,70,-54.81,-68.31,54.81,42.8,31.09
199,Puerto Ayora,75,65,-0.74,-90.35,0.74,78.8,17.22
200,Cherskiy,20,70,68.75,161.3,68.75,43.53,2.51
201,Albany,90,69,42.65,-73.75,42.65,72.95,11.41
202,Busselton,76,100,-33.64,115.35,33.64,54.51,4.63
203,Bredasdorp,0,48,-34.53,20.04,34.53,62.6,16.11
204,Jamestown,36,96,-33.21,138.6,33.21,37.14,4.74
205,Butaritari,64,100,3.07,172.79,3.07,83.49,14.7
206,Kontagora,8,80,10.4,5.47,10.4,78.62,4.38
207,Pevek,32,86,69.7,170.27,69.7,35.97,16.26
208,Chokurdakh,12,100,70.62,147.9,70.62,27.06,6.42
209,Havre,90,72,48.55,-109.68,48.55,60.8,21.92
210,Buala,12,92,-8.15,159.59,8.15,82.41,4.85
211,Jamestown,36,96,-33.21,138.6,33.21,37.14,4.74
212,Georgetown,75,94,6.8,-58.16,6.8,77.0,6.93
213,Paamiut,92,92,61.99,-49.67,61.99,37.76,32.68
214,Iqaluit,75,68,63.75,-68.52,63.75,30.2,6.93
215,Kapaa,75,69,22.08,-159.32,22.08,80.6,14.99
216,Cedar City,1,14,37.68,-113.06,37.68,80.6,25.28
217,Butaritari,64,100,3.07,172.79,3.07,83.49,14.7
218,Tasiilaq,80,96,65.61,-37.64,65.61,33.8,9.17
219,Bontang,88,100,0.12,117.47,0.12,77.63,6.29
220,Mataura,0,68,-46.19,168.86,46.19,17.79,3.06
221,Qaanaaq,32,100,77.48,-69.36,77.48,31.2,1.83
222,Albany,90,69,42.65,-73.75,42.65,72.95,11.41
223,Egvekinot,36,98,66.32,-179.17,66.32,36.5,3.38
224,Ahipara,20,100,-35.17,173.16,35.17,51.27,11.45
225,Rikitea,8,100,-23.12,-134.97,23.12,75.66,5.86
226,Hovd,20,62,63.83,10.7,63.83,58.06,3.36
227,Takaka,36,100,-40.86,172.81,40.86,48.29,7.74
228,Saint George,0,72,39.45,22.34,39.45,60.8,5.82
229,Haines Junction,0,27,60.75,-137.51,60.75,49.55,2.59
230,Gizo,40,73,31.8,34.94,31.8,73.4,3.36
231,Barrow,64,53,-38.31,-60.23,38.31,49.47,11.9
232,Hasaki,20,77,35.73,140.83,35.73,63.88,5.82
233,Half Moon Bay,20,76,37.46,-122.43,37.46,62.42,14.99
234,Laguna,20,7,27.52,-110.01,27.52,104.0,11.41
235,Ikom,80,94,5.96,8.72,5.96,73.85,3.27
236,Port Alfred,0,99,-33.59,26.89,33.59,59.82,4.52
237,Dikson,36,90,73.51,80.55,73.51,19.59,4.52
238,Bambous Virieux,40,78,-20.34,57.76,20.34,71.6,4.7
239,Chuy,92,98,-33.69,-53.46,33.69,59.91,17.83
240,Busselton,76,100,-33.64,115.35,33.64,54.51,4.63
241,Lompoc,75,55,34.64,-120.46,34.64,64.76,20.8
242,Avarua,75,83,-21.21,-159.78,21.21,78.8,4.7
243,Saint Anthony,20,52,43.97,-111.68,43.97,65.57,6.93
244,Saint-Philippe,90,65,45.36,-73.48,45.36,77.88,13.87
245,Punta Arenas,75,65,-53.16,-70.91,53.16,44.6,11.41
246,Busselton,76,100,-33.64,115.35,33.64,54.51,4.63
247,Boralday,75,81,43.36,76.86,43.36,51.8,4.72
248,Ushuaia,20,70,-54.81,-68.31,54.81,42.8,31.09
249,New Norfolk,75,81,-42.78,147.06,42.78,42.8,10.29
250,Kavieng,68,100,-2.57,150.8,2.57,79.43,8.63
251,Port Blair,76,100,11.67,92.75,11.67,82.04,12.21
252,Wenchi,24,93,7.74,-2.1,7.74,74.21,7.63
253,Grenfell,0,87,-33.9,148.16,33.9,33.81,4.18
254,Sidrolandia,20,64,-20.93,-54.96,20.93,75.2,5.82
255,Ushuaia,20,70,-54.81,-68.31,54.81,42.8,31.09
256,Nisia Floresta,75,83,-6.09,-35.21,6.09,77.0,6.93
257,Ushuaia,20,70,-54.81,-68.31,54.81,42.8,31.09
258,Kashary,0,44,49.04,41.01,49.04,54.68,14.0
259,Saint George,0,72,39.45,22.34,39.45,60.8,5.82
260,Kodiak,20,36,39.95,-94.76,39.95,93.2,5.82
261,Port Alfred,0,99,-33.59,26.89,33.59,59.82,4.52
262,Cape Town,75,82,-33.93,18.42,33.93,59.0,35.57
263,Tuktoyaktuk,75,86,69.44,-133.03,69.44,50.0,3.36
264,Vaini,88,97,15.34,74.49,15.34,75.21,3.29
265,Kavieng,68,100,-2.57,150.8,2.57,79.43,8.63
266,Ushuaia,20,70,-54.81,-68.31,54.81,42.8,31.09
267,Vallenar,24,80,-28.58,-70.76,28.58,49.28,0.81
268,Albany,90,69,42.65,-73.75,42.65,72.95,11.41
269,Conde,44,83,-11.81,-37.61,11.81,77.45,9.19
270,Masingbi,92,91,8.64,-11.47,8.64,74.93,5.5
271,Mataura,0,68,-46.19,168.86,46.19,17.79,3.06
272,Port Hedland,90,100,-20.31,118.58,20.31,68.0,3.36
273,Busselton,76,100,-33.64,115.35,33.64,54.51,4.63
274,Lata,0,85,30.78,78.62,30.78,53.16,1.95
275,Grants,1,3,35.15,-107.85,35.15,87.8,21.92
276,Vohibinany,0,97,-17.35,49.03,17.35,58.73,2.71
277,Desaguadero,0,65,-16.56,-69.04,16.56,30.92,1.36
278,Vershino-Darasunskiy,0,61,52.35,115.52,52.35,74.21,4.38
279,Saint-Francois,90,87,46.42,3.91,46.42,59.0,2.82
280,Khatanga,92,100,71.98,102.47,71.98,35.33,14.0
281,Jamestown,36,96,-33.21,138.6,33.21,37.14,4.74
282,Grand Gaube,40,78,-20.01,57.66,20.01,71.6,4.7
283,Kahului,40,69,20.89,-156.47,20.89,79.3,18.34
284,Petropavlovsk-Kamchatskiy,0,59,53.05,158.65,53.05,51.8,11.18
285,Neuquen,0,64,-38.95,-68.06,38.95,50.0,4.7
286,Teya,75,66,21.05,-89.07,21.05,84.2,17.22
287,Rikitea,8,100,-23.12,-134.97,23.12,75.66,5.86
288,New Norfolk,75,81,-42.78,147.06,42.78,42.8,10.29
289,Diveyevo,12,50,55.04,43.25,55.04,36.68,8.75
290,Port Shepstone,0,82,-30.74,30.45,30.74,63.23,6.17
291,Stilling,0,59,56.06,9.99,56.06,64.4,4.7
292,Necochea,56,81,-38.55,-58.74,38.55,46.67,12.55
293,Kaitangata,0,75,-46.28,169.85,46.28,40.91,4.38
294,Busselton,76,100,-33.64,115.35,33.64,54.51,4.63
295,Mataura,0,68,-46.19,168.86,46.19,17.79,3.06
296,Victoria,75,100,5.28,115.24,5.28,76.21,16.02
297,Bambous Virieux,40,78,-20.34,57.76,20.34,71.6,4.7
298,Atuona,20,100,-9.8,-139.03,9.8,79.89,14.58
299,Huarmey,0,81,-10.07,-78.15,10.07,61.52,3.04
300,Muros,75,93,42.77,-9.06,42.77,51.8,4.7
301,Marawi,80,100,8.0,124.29,8.0,68.46,1.95
