,City,Cloudiness (%),Humidity (%),Latitude,Longitude,Proximity to Equator,Temperature (F),Wind Speed (mph)
605,Malumfashi,8,76,11.79,7.62,11.79,75.02,2.71
606,Lompoc,75,55,34.64,-120.46,34.64,64.76,20.8
607,Orda,76,69,57.2,56.91,57.2,37.13,9.08
608,Kingsport,90,88,36.55,-82.56,36.55,74.93,10.29
609,Khatanga,92,100,71.98,102.47,71.98,35.33,14.0
610,Fare,12,100,-16.7,-151.02,16.7,80.87,9.75
611,Barrow,64,53,-38.31,-60.23,38.31,49.47,11.9
612,Punta Arenas,75,65,-53.16,-70.91,53.16,44.6,11.41
613,Cockburn Town,36,100,21.46,-71.14,21.46,77.73,17.27
614,Icod de los Vinos,75,87,28.37,-16.71,28.37,62.82,19.46
615,Hithadhoo,64,100,-0.6,73.08,0.6,83.67,15.14
616,Norman Wells,75,35,65.28,-126.83,65.28,69.8,11.41
617,Tasiilaq,80,96,65.61,-37.64,65.61,33.8,9.17
618,Carinhanha,8,44,-14.3,-43.77,14.3,76.74,5.64
619,Sao Gabriel da Cachoeira,48,90,-0.13,-67.09,0.13,80.16,2.17
620,Tuktoyaktuk,75,86,69.44,-133.03,69.44,50.0,3.36
621,Balkhash,0,100,46.84,74.98,46.84,50.99,7.4
622,Hermanus,32,72,-34.42,19.24,34.42,58.2,22.19
623,Wahiawa,75,69,21.5,-158.02,21.5,81.48,12.75
624,Thompson,90,46,55.74,-97.86,55.74,48.2,12.75
625,Buchanan,92,100,5.88,-10.05,5.88,78.26,4.61
626,Pisco,0,88,-13.71,-76.2,13.71,64.4,10.29
627,Lerwick,88,81,60.15,-1.15,60.15,53.6,1.12
628,Nalut,8,60,31.86,10.98,31.86,71.15,5.95
629,Hualmay,32,84,-11.1,-77.61,11.1,67.11,5.64
630,Faanui,68,100,-16.48,-151.75,16.48,81.33,10.0
631,Guanica,75,83,17.97,-66.91,17.97,75.2,9.17
632,Nyamuswa,36,100,-1.9,34.02,1.9,61.43,2.37
633,Cape Town,75,82,-33.93,18.42,33.93,59.0,35.57
634,Bathsheba,40,78,13.22,-59.52,13.22,80.6,18.34
635,Ajdabiya,0,28,30.75,20.22,30.75,74.93,9.08
636,Goderich,12,76,43.74,-81.71,43.74,69.98,11.21
637,Mataura,0,68,-46.19,168.86,46.19,17.79,3.06
638,Praia da Vitoria,20,93,38.73,-27.07,38.73,66.2,16.04
639,Midland,0,6,32.0,-102.08,32.0,105.71,3.36
640,Hilo,90,78,19.71,-155.08,19.71,73.04,16.11
641,Ushuaia,20,70,-54.81,-68.31,54.81,42.8,31.09
642,Nantucket,1,77,41.28,-70.1,41.28,64.4,10.29
643,Provideniya,90,75,64.42,-173.23,64.42,42.8,6.71
644,Rikitea,8,100,-23.12,-134.97,23.12,75.66,5.86
645,Belaya Gora,0,79,68.54,146.19,68.54,40.1,9.53
646,Hermanus,32,72,-34.42,19.24,34.42,58.2,22.19
647,Umm Kaddadah,24,85,13.6,26.69,13.6,73.49,3.04
648,Punta Arenas,75,65,-53.16,-70.91,53.16,44.6,11.41
649,Tuktoyaktuk,75,86,69.44,-133.03,69.44,50.0,3.36
650,Bluff,12,87,-23.58,149.07,23.58,40.38,7.09
651,Vaini,88,97,15.34,74.49,15.34,75.21,3.29
652,Moerai,76,100,-22.43,-151.33,22.43,78.62,10.76
653,Alamos,88,53,-36.9,-62.36,36.9,48.2,8.75
654,Souillac,75,93,45.6,-0.6,45.6,60.8,5.82
655,Tasiilaq,80,96,65.61,-37.64,65.61,33.8,9.17
656,Dingle,68,98,11.0,122.67,11.0,74.67,3.06
657,Jamestown,36,96,-33.21,138.6,33.21,37.14,4.74
658,Batticaloa,12,100,7.71,81.69,7.71,81.41,6.62
659,Puerto Ayora,75,65,-0.74,-90.35,0.74,78.8,17.22
660,Barrow,64,53,-38.31,-60.23,38.31,49.47,11.9
661,Huilong,92,97,28.89,110.18,28.89,61.97,4.94
662,Blackwater,90,82,51.33,-0.78,51.33,61.92,5.82
663,Hilo,90,78,19.71,-155.08,19.71,73.04,16.11
664,Vaini,88,97,15.34,74.49,15.34,75.21,3.29
665,Presidente Venceslau,0,31,-21.88,-51.85,21.88,77.0,4.7
666,Aksum,36,90,14.12,38.72,14.12,55.04,2.48
667,Hofn,0,94,64.25,-15.21,64.25,47.75,6.62
668,Emborion,0,98,40.48,21.55,40.48,53.42,3.71
669,Khatanga,92,100,71.98,102.47,71.98,35.33,14.0
670,Nortelandia,20,84,-14.45,-56.8,14.45,72.23,4.61
671,Ushuaia,20,70,-54.81,-68.31,54.81,42.8,31.09
672,Husavik,20,70,50.56,-96.99,50.56,64.85,13.22
673,Hermanus,32,72,-34.42,19.24,34.42,58.2,22.19
674,Mar del Plata,0,100,-46.43,-67.52,46.43,27.59,4.27
675,Rikitea,8,100,-23.12,-134.97,23.12,75.66,5.86
676,Zonguldak,64,87,41.25,31.83,41.25,59.9,2.82
677,Hobart,75,81,-42.88,147.33,42.88,42.8,10.29
678,Arraial do Cabo,0,78,-22.97,-42.02,22.97,71.53,8.05
679,Busselton,76,100,-33.64,115.35,33.64,54.51,4.63
680,Kasongo-Lunda,0,90,-6.48,16.82,6.48,69.17,2.37
681,Kuldiga,0,81,56.97,21.96,56.97,51.8,3.36
682,Bluff,12,87,-23.58,149.07,23.58,40.38,7.09
683,Zacatlan,0,41,19.93,-97.97,19.93,73.4,2.93
684,Kahului,40,69,20.89,-156.47,20.89,79.3,18.34
685,Brae,92,81,60.4,-1.35,60.4,52.81,3.36
686,Santa Rosa,92,52,-36.62,-64.29,36.62,51.27,9.55
687,Cape Town,75,82,-33.93,18.42,33.93,59.0,35.57
688,Khatanga,92,100,71.98,102.47,71.98,35.33,14.0
689,Rikitea,8,100,-23.12,-134.97,23.12,75.66,5.86
690,Kavieng,68,100,-2.57,150.8,2.57,79.43,8.63
691,Lebu,8,96,8.96,38.73,8.96,51.44,2.82
692,Nikolskoye,0,59,59.7,30.79,59.7,42.8,1.95
693,Mar del Plata,0,100,-46.43,-67.52,46.43,27.59,4.27
694,Hermanus,32,72,-34.42,19.24,34.42,58.2,22.19
695,Westport,12,91,53.8,-9.52,53.8,58.01,3.15
696,Sangar,0,56,63.92,127.47,63.92,51.35,5.17
697,Hermanus,32,72,-34.42,19.24,34.42,58.2,22.19
698,Les Cayes,0,95,18.19,-73.75,18.19,82.14,16.82
699,Auki,0,82,12.18,6.51,12.18,74.93,5.95
700,Vanimo,64,100,-2.67,141.3,2.67,79.53,8.99
701,Georgetown,75,94,6.8,-58.16,6.8,77.0,6.93
702,Cockburn Town,36,100,21.46,-71.14,21.46,77.73,17.27
703,Albany,90,69,42.65,-73.75,42.65,72.95,11.41
704,Gazli,0,37,40.13,63.45,40.13,54.59,3.6
705,Maksatikha,0,56,57.8,35.88,57.8,38.48,8.75
706,Tabuk,0,90,17.41,121.44,17.41,76.19,2.26
707,Carnarvon,0,73,-30.97,22.13,30.97,35.6,14.67
708,Brigantine,75,88,39.41,-74.36,39.41,74.84,6.93
709,Bredasdorp,0,48,-34.53,20.04,34.53,62.6,16.11
710,Port Augusta,36,93,-32.49,137.76,32.49,39.2,1.12
711,Palmas,0,48,-10.18,-48.33,10.18,84.2,4.72
712,Vaini,88,97,15.34,74.49,15.34,75.21,3.29
713,Kapaa,75,69,22.08,-159.32,22.08,80.6,14.99
714,Upernavik,64,84,72.79,-56.15,72.79,35.34,6.98
715,Kapaa,75,69,22.08,-159.32,22.08,80.6,14.99
716,Mataura,0,68,-46.19,168.86,46.19,17.79,3.06
717,Rio Gallegos,0,60,-51.62,-69.22,51.62,41.0,19.46
718,Luderitz,0,90,-26.65,15.16,26.65,52.25,3.94
719,Aasiaat,92,86,68.71,-52.87,68.71,33.89,11.43
720,Zilupe,0,60,56.39,28.12,56.39,47.93,7.07
721,Novouzensk,88,61,50.46,48.14,50.46,50.9,14.23
722,Fomboni,88,100,-12.28,43.74,12.28,80.51,14.67
723,Grindavik,90,86,63.84,-22.43,63.84,41.95,6.93
724,Constitucion,75,22,23.99,-104.67,23.99,95.0,17.22
725,Georgetown,75,94,6.8,-58.16,6.8,77.0,6.93
726,Klaksvik,0,93,62.23,-6.59,62.23,46.4,6.93
727,Cape Town,75,82,-33.93,18.42,33.93,59.0,35.57
728,Mataura,0,68,-46.19,168.86,46.19,17.79,3.06
729,Ouadda,12,94,8.07,22.4,8.07,66.02,2.93
730,Gorontalo,92,92,0.54,123.06,0.54,75.65,2.04
731,Rikitea,8,100,-23.12,-134.97,23.12,75.66,5.86
732,Mataura,0,68,-46.19,168.86,46.19,17.79,3.06
733,Kadungora,80,98,-7.09,107.89,7.09,65.3,1.25
734,Cape Town,75,82,-33.93,18.42,33.93,59.0,35.57
735,Nikolskoye,0,59,59.7,30.79,59.7,42.8,1.95
736,Tuktoyaktuk,75,86,69.44,-133.03,69.44,50.0,3.36
737,Jiutai,0,60,44.15,125.84,44.15,68.0,6.71
738,Mareeba,20,64,-16.99,145.42,16.99,69.8,13.87
739,Punta Arenas,75,65,-53.16,-70.91,53.16,44.6,11.41
740,Hambantota,64,100,6.12,81.12,6.12,78.35,13.67
741,Port Alfred,0,99,-33.59,26.89,33.59,59.82,4.52
742,Rikitea,8,100,-23.12,-134.97,23.12,75.66,5.86
743,Jizan,20,63,16.89,42.56,16.89,93.2,5.82
744,Airai,44,97,-8.93,125.41,8.93,68.37,2.06
745,Port Elizabeth,20,78,39.31,-74.98,39.31,76.42,6.93
746,Ushuaia,20,70,-54.81,-68.31,54.81,42.8,31.09
747,Upington,0,66,-28.46,21.24,28.46,39.2,5.82
748,Olean,90,100,42.08,-78.43,42.08,71.65,9.17
749,Tasiilaq,80,96,65.61,-37.64,65.61,33.8,9.17
750,Albany,90,69,42.65,-73.75,42.65,72.95,11.41
751,Rikitea,8,100,-23.12,-134.97,23.12,75.66,5.86
752,Sitka,0,67,37.17,-99.65,37.17,86.46,7.65
753,Ushuaia,20,70,-54.81,-68.31,54.81,42.8,31.09
754,Hambantota,64,100,6.12,81.12,6.12,78.35,13.67
755,Busselton,76,100,-33.64,115.35,33.64,54.51,4.63
756,Ashland,75,73,38.48,-82.64,38.48,78.46,19.46
757,Kodiak,20,36,39.95,-94.76,39.95,93.2,5.82
758,Iqaluit,75,68,63.75,-68.52,63.75,30.2,6.93
759,Upernavik,64,84,72.79,-56.15,72.79,35.34,6.98
760,Busselton,76,100,-33.64,115.35,33.64,54.51,4.63
761,Gagnoa,68,98,6.13,-5.95,6.13,72.68,2.59
762,Saldanha,20,67,41.42,-6.55,41.42,58.02,6.98
763,Magnolia,40,41,33.27,-93.24,33.27,93.81,11.41
764,Tasiilaq,80,96,65.61,-37.64,65.61,33.8,9.17
765,Rikitea,8,100,-23.12,-134.97,23.12,75.66,5.86
766,Puerto Ayora,75,65,-0.74,-90.35,0.74,78.8,17.22
767,Cape Town,75,82,-33.93,18.42,33.93,59.0,35.57
768,Batagay-Alyta,0,71,67.8,130.41,67.8,40.02,4.07
769,Rikitea,8,100,-23.12,-134.97,23.12,75.66,5.86
770,Rikitea,8,100,-23.12,-134.97,23.12,75.66,5.86
771,Busselton,76,100,-33.64,115.35,33.64,54.51,4.63
772,Cairns,20,64,-16.92,145.77,16.92,69.8,13.87
773,Qaanaaq,32,100,77.48,-69.36,77.48,31.2,1.83
774,Rikitea,8,100,-23.12,-134.97,23.12,75.66,5.86
775,Dikson,36,90,73.51,80.55,73.51,19.59,4.52
776,Saraland,75,62,30.82,-88.07,30.82,85.51,12.75
777,Sovetskiy,36,63,56.76,48.47,56.76,34.88,10.31
778,Pangnirtung,90,80,66.15,-65.72,66.15,30.2,11.41
779,Mataura,0,68,-46.19,168.86,46.19,17.79,3.06
780,Salalah,20,88,17.01,54.1,17.01,82.4,4.7
781,San Jose,48,76,15.79,120.99,15.79,83.39,2.37
782,Vaini,88,97,15.34,74.49,15.34,75.21,3.29
783,Punta Arenas,75,65,-53.16,-70.91,53.16,44.6,11.41
784,Hasaki,20,77,35.73,140.83,35.73,63.88,5.82
785,Albany,90,69,42.65,-73.75,42.65,72.95,11.41
786,Kapaa,75,69,22.08,-159.32,22.08,80.6,14.99
787,Vaini,88,97,15.34,74.49,15.34,75.21,3.29
788,Atuona,20,100,-9.8,-139.03,9.8,79.89,14.58
789,Sita Road,0,21,27.03,67.85,27.03,90.77,13.11
790,Punta Arenas,75,65,-53.16,-70.91,53.16,44.6,11.41
791,Barrow,64,53,-38.31,-60.23,38.31,49.47,11.9
792,Mocuba,0,88,-16.84,36.99,16.84,58.64,2.59
793,Faanui,68,100,-16.48,-151.75,16.48,81.33,10.0
794,Ribeira Grande,56,96,38.52,-28.7,38.52,68.19,15.03
795,Hobart,75,81,-42.88,147.33,42.88,42.8,10.29
796,Jamestown,36,96,-33.21,138.6,33.21,37.14,4.74
797,Puerto Ayora,75,65,-0.74,-90.35,0.74,78.8,17.22
798,San Patricio,92,99,-26.98,-56.83,26.98,66.93,2.84
799,Zasechnoye,0,50,53.11,45.08,53.11,36.86,8.75
800,Carnarvon,0,73,-30.97,22.13,30.97,35.6,14.67
801,Barrow,64,53,-38.31,-60.23,38.31,49.47,11.9
802,College,40,33,64.86,-147.8,64.86,62.6,3.36
803,Izhma,68,59,65.01,53.91,65.01,32.72,12.44
804,Luderitz,0,90,-26.65,15.16,26.65,52.25,3.94
805,Laguna,20,7,27.52,-110.01,27.52,104.0,11.41
806,Saint-Pierre,76,88,48.95,4.24,48.95,64.4,6.93
807,Pospelikha,12,51,51.99,81.83,51.99,53.6,15.01
808,Tasiilaq,80,96,65.61,-37.64,65.61,33.8,9.17
809,Bluff,12,87,-23.58,149.07,23.58,40.38,7.09
810,Mataura,0,68,-46.19,168.86,46.19,17.79,3.06
811,Clyde River,90,100,70.47,-68.59,70.47,32.0,12.75
812,Touros,68,96,-5.2,-35.46,5.2,77.0,13.44
813,Namatanai,64,100,-3.66,152.44,3.66,81.23,4.94
814,Valparaiso,75,48,41.47,-87.06,41.47,85.66,9.17
815,Qaanaaq,32,100,77.48,-69.36,77.48,31.2,1.83
816,San Cristobal,40,59,-0.39,-78.55,0.39,64.4,11.41
817,Bredasdorp,0,48,-34.53,20.04,34.53,62.6,16.11
818,Albany,90,69,42.65,-73.75,42.65,72.95,11.41
819,Sitka,0,67,37.17,-99.65,37.17,86.46,7.65
820,Sobolevo,0,80,54.43,31.9,54.43,40.28,2.93
821,Hithadhoo,64,100,-0.6,73.08,0.6,83.67,15.14
822,Nikolskoye,0,59,59.7,30.79,59.7,42.8,1.95
823,Atuona,20,100,-9.8,-139.03,9.8,79.89,14.58
824,Hithadhoo,64,100,-0.6,73.08,0.6,83.67,15.14
825,Butaritari,64,100,3.07,172.79,3.07,83.49,14.7
826,Sao Filipe,0,98,14.9,-24.5,14.9,72.23,10.42
827,Cayenne,75,100,4.94,-52.33,4.94,77.0,8.05
828,Albany,90,69,42.65,-73.75,42.65,72.95,11.41
829,Tuktoyaktuk,75,86,69.44,-133.03,69.44,50.0,3.36
830,Atuona,20,100,-9.8,-139.03,9.8,79.89,14.58
831,Punta Arenas,75,65,-53.16,-70.91,53.16,44.6,11.41
832,Vila Franca do Campo,20,77,37.72,-25.43,37.72,64.4,8.05
833,Saskylakh,92,93,71.97,114.09,71.97,38.49,14.58
834,Nouadhibou,0,68,20.93,-17.03,20.93,69.8,12.75
835,Cape Town,75,82,-33.93,18.42,33.93,59.0,35.57
836,Svit,0,93,49.06,20.2,49.06,55.4,6.93
837,Ushuaia,20,70,-54.81,-68.31,54.81,42.8,31.09
838,Lefka,0,72,39.1,22.35,39.1,60.8,5.82
839,Copaceni,0,88,45.0,23.98,45.0,57.74,2.59
840,Ushuaia,20,70,-54.81,-68.31,54.81,42.8,31.09
841,Rikitea,8,100,-23.12,-134.97,23.12,75.66,5.86
842,Barrow,64,53,-38.31,-60.23,38.31,49.47,11.9
843,Los Llanos de Aridane,0,68,28.66,-17.92,28.66,66.2,14.99
844,Bereznik,24,60,62.86,42.71,62.86,35.87,8.97
845,Kruisfontein,0,72,-34.0,24.73,34.0,60.98,14.0
846,Constitucion,75,22,23.99,-104.67,23.99,95.0,17.22
847,Mataura,0,68,-46.19,168.86,46.19,17.79,3.06
848,Busselton,76,100,-33.64,115.35,33.64,54.51,4.63
849,Rawson,0,83,-43.3,-65.11,43.3,27.86,2.82
850,Kapaa,75,69,22.08,-159.32,22.08,80.6,14.99
851,Tasiilaq,80,96,65.61,-37.64,65.61,33.8,9.17
852,Hithadhoo,64,100,-0.6,73.08,0.6,83.67,15.14
853,Hobart,75,81,-42.88,147.33,42.88,42.8,10.29
854,Clyde River,90,100,70.47,-68.59,70.47,32.0,12.75
855,Hilo,90,78,19.71,-155.08,19.71,73.04,16.11
856,Xichang,92,99,27.88,102.25,27.88,51.98,1.25
857,Aklavik,75,47,68.22,-135.01,68.22,64.42,11.41
858,Punta Arenas,75,65,-53.16,-70.91,53.16,44.6,11.41
859,Tuatapere,0,100,-46.13,167.69,46.13,48.56,2.93
860,Avera,40,74,33.19,-82.53,33.19,86.02,5.82
861,Tuktoyaktuk,75,86,69.44,-133.03,69.44,50.0,3.36
862,Cabedelo,0,83,-6.97,-34.84,6.97,75.2,4.7
863,Mayor Pablo Lagerenza,100,99,-19.93,-60.77,19.93,69.89,4.83
864,Tiksi,44,99,71.64,128.87,71.64,27.06,3.96
865,Cape Town,75,82,-33.93,18.42,33.93,59.0,35.57
866,Ushuaia,20,70,-54.81,-68.31,54.81,42.8,31.09
867,Mataura,0,68,-46.19,168.86,46.19,17.79,3.06
868,Hamilton,90,78,32.3,-64.78,32.3,77.0,11.41
869,Thompson,90,46,55.74,-97.86,55.74,48.2,12.75
870,Bredasdorp,0,48,-34.53,20.04,34.53,62.6,16.11
871,Hermanus,32,72,-34.42,19.24,34.42,58.2,22.19
872,Rikitea,8,100,-23.12,-134.97,23.12,75.66,5.86
873,Rikitea,8,100,-23.12,-134.97,23.12,75.66,5.86
874,Cape Town,75,82,-33.93,18.42,33.93,59.0,35.57
875,Bredasdorp,0,48,-34.53,20.04,34.53,62.6,16.11
876,Oranjestad,20,74,12.52,-70.03,12.52,84.2,25.28
877,Ushuaia,20,70,-54.81,-68.31,54.81,42.8,31.09
878,Kapaa,75,69,22.08,-159.32,22.08,80.6,14.99
879,Vaini,88,97,15.34,74.49,15.34,75.21,3.29
880,Oum Hadjer,0,46,13.3,19.7,13.3,80.33,9.53
881,Khatanga,92,100,71.98,102.47,71.98,35.33,14.0
882,Atuona,20,100,-9.8,-139.03,9.8,79.89,14.58
883,Rikitea,8,100,-23.12,-134.97,23.12,75.66,5.86
884,Saint Anthony,20,52,43.97,-111.68,43.97,65.57,6.93
885,Kapaa,75,69,22.08,-159.32,22.08,80.6,14.99
886,Namatanai,64,100,-3.66,152.44,3.66,81.23,4.94
887,Pontianak,76,100,-0.02,109.34,0.02,78.17,4.05
888,Provideniya,90,75,64.42,-173.23,64.42,42.8,6.71
889,Pevek,32,86,69.7,170.27,69.7,35.97,16.26
890,Mataura,0,68,-46.19,168.86,46.19,17.79,3.06
891,Hobart,75,81,-42.88,147.33,42.88,42.8,10.29
892,Seoul,1,100,37.57,126.98,37.57,61.77,2.39
893,Dikson,36,90,73.51,80.55,73.51,19.59,4.52
894,Albany,90,69,42.65,-73.75,42.65,72.95,11.41
895,Ialibu,44,89,-6.28,143.99,6.28,61.16,2.37
896,Bethel,90,57,60.79,-161.76,60.79,50.0,4.7
897,Buta,12,90,2.79,24.73,2.79,74.4,3.51
898,Grindavik,90,86,63.84,-22.43,63.84,41.95,6.93
899,Kapaa,75,69,22.08,-159.32,22.08,80.6,14.99
900,Lata,0,85,30.78,78.62,30.78,53.16,1.95
901,Payo,92,98,-3.75,103.64,3.75,72.5,3.71
902,New Norfolk,75,81,-42.78,147.06,42.78,42.8,10.29
903,Albany,90,69,42.65,-73.75,42.65,72.95,11.41
904,Shasta Lake,20,40,40.68,-122.36,40.68,67.37,10.29
905,Kodiak,20,36,39.95,-94.76,39.95,93.2,5.82
906,Bethel,90,57,60.79,-161.76,60.79,50.0,4.7
907,Znamenskoye,68,62,57.13,73.82,57.13,54.32,12.44
908,Vaini,88,97,15.34,74.49,15.34,75.21,3.29
